epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.66819,3.97843,5.75268,1.58283,0,0,0,0,3.69947,5.76103,1.24094,0,0,0
2,15.7769,3.40786,5.73528,1.31444,0,0,0,0,3.68788,5.74988,1.24048,4.9505e-06,4.9505e-06,4.9505e-06
3,26.7746,3.18076,5.58287,1.36995,0,0,0,0,3.66737,5.7257,1.23665,9.802e-06,9.802e-06,9.802e-06
4,37.572,3.55846,5.45974,1.39904,0,0,0,0,3.60717,5.65689,1.22294,1.45545e-05,1.45545e-05,1.45545e-05
5,48.806,3.28058,5.26663,1.33379,0,0,0,0,3.53251,5.54907,1.20089,1.9208e-05,1.9208e-05,1.9208e-05
6,59.8821,3.67562,5.69008,1.58506,0,0,0,0,3.47873,5.42781,1.18126,2.37625e-05,2.37625e-05,2.37625e-05
7,71.1406,3.89686,5.51162,1.39202,0,0,0,0,3.41745,5.29302,1.16311,2.8218e-05,2.8218e-05,2.8218e-05
8,82.5894,3.35747,5.1944,1.25976,0,0,0,0,3.3538,5.14608,1.1464,3.25745e-05,3.25745e-05,3.25745e-05
9,94.1058,2.89639,4.52504,1.22468,0,0,0,0,3.27776,5.00454,1.13148,3.6832e-05,3.6832e-05,3.6832e-05
10,105.545,3.49715,4.84153,1.21864,0.33333,0.00082,0.16764,0.11734,3.20746,4.86154,1.11845,4.09905e-05,4.09905e-05,4.09905e-05
11,116.716,3.53401,4.33532,1.18775,0.375,0.00245,0.18858,0.12579,3.1357,4.70603,1.10498,4.505e-05,4.505e-05,4.505e-05
12,127.875,2.86632,3.99288,1.17066,0.36842,0.00573,0.18592,0.11436,3.06956,4.52547,1.09321,4.90105e-05,4.90105e-05,4.90105e-05
13,138.076,3.46305,3.89099,1.21763,0.54717,0.02373,0.28007,0.16172,2.98601,4.29713,1.07666,5.2872e-05,5.2872e-05,5.2872e-05
14,148.16,2.83914,3.71415,1.12686,0.4252,0.04419,0.2279,0.11508,2.91185,4.02051,1.05944,5.66345e-05,5.66345e-05,5.66345e-05
15,158.735,3.04017,3.3092,1.12498,0.42667,0.10475,0.24994,0.12869,2.79641,3.56129,1.03255,6.0298e-05,6.0298e-05,6.0298e-05
16,169.855,3.18816,2.98934,1.08954,0.3567,0.1874,0.24989,0.12517,2.64206,3.02847,1.00286,6.38625e-05,6.38625e-05,6.38625e-05
17,180.885,2.70854,2.52807,1.02669,0.30944,0.28969,0.27929,0.1344,2.56092,2.47774,0.97752,6.7328e-05,6.7328e-05,6.7328e-05
18,192.259,2.89067,2.4634,1.13112,0.30944,0.28969,0.27929,0.1344,2.56092,2.47774,0.97752,7.06945e-05,7.06945e-05,7.06945e-05
19,204.213,3.20881,2.76083,1.12987,0.45639,0.31424,0.36697,0.17816,2.36677,2.2281,0.93934,7.3962e-05,7.3962e-05,7.3962e-05
20,214.214,2.78585,2.43768,1.05538,0.45639,0.31424,0.36697,0.17816,2.36677,2.2281,0.93934,7.71305e-05,7.71305e-05,7.71305e-05
21,222.34,2.85618,2.30158,0.9959,0.42856,0.54173,0.48237,0.24157,2.18115,3.11796,0.89437,8.02e-05,8.02e-05,8.02e-05
22,230.536,2.74212,2.09741,1.04765,0.42856,0.54173,0.48237,0.24157,2.18115,3.11796,0.89437,8.31705e-05,8.31705e-05,8.31705e-05
