epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,49.1633,1.20365,2.03119,1.18473,0.61233,0.39491,0.5385,0.35845,1.18731,2.06699,1.32164,6e-05,6e-05,6e-05
2,97.8367,0.87323,1.12326,1.08006,1,0.9807,0.995,0.79087,0.78589,1.58181,0.93946,0.00013307,0.00013307,0.00013307
3,149.382,0.94176,0.89663,1.11707,0.9961,1,0.995,0.82194,0.71139,1.39559,0.90242,0.00019822,0.00019822,0.00019822
4,210.827,0.78718,0.77364,1.01244,0.99924,1,0.995,0.81816,0.73428,1.21214,0.90486,0.00025545,0.00025545,0.00025545
5,261.756,0.76193,0.62735,0.98886,0.99924,1,0.995,0.81055,0.70496,1.05394,0.89847,0.00030476,0.00030476,0.00030476
6,316.447,0.85539,0.6604,1.07791,0.99921,1,0.995,0.81658,0.71457,1.32018,0.89314,0.00034615,0.00034615,0.00034615
7,367.963,0.78976,0.6807,1.01676,0.9992,1,0.995,0.83395,0.67786,0.62941,0.88904,0.00037962,0.00037962,0.00037962
8,416.378,0.78015,0.70229,0.98012,0.99909,1,0.995,0.79202,0.72228,0.7538,0.89589,0.00040517,0.00040517,0.00040517
9,479.384,0.79107,0.63312,1.00217,0.99945,1,0.995,0.82675,0.6698,0.80339,0.90313,0.0004228,0.0004228,0.0004228
10,532.225,0.75149,0.58592,0.99239,0.99949,1,0.995,0.83117,0.69752,0.7848,0.91736,0.00043251,0.00043251,0.00043251
11,582.928,0.62793,0.54239,0.89192,0.99779,1,0.995,0.78456,0.81252,1.07387,0.95262,0.0004343,0.0004343,0.0004343
12,633.344,0.67758,0.47169,0.92755,0.99855,1,0.995,0.77859,0.85401,1.26961,0.95716,0.00042817,0.00042817,0.00042817
13,682.534,0.67552,0.46771,0.91317,0.9994,1,0.995,0.83341,0.66997,0.80806,0.89896,0.00041412,0.00041412,0.00041412
14,729.932,0.68574,0.49608,0.91744,0.99944,1,0.995,0.82176,0.71253,0.83027,0.9294,0.00039215,0.00039215,0.00039215
15,777.64,0.616,0.46222,0.90104,0.99936,1,0.995,0.82663,0.68717,1.13244,0.94353,0.00036226,0.00036226,0.00036226
16,825.119,0.58135,0.38765,0.88822,0.99935,1,0.995,0.82971,0.66562,0.96291,0.92491,0.00032445,0.00032445,0.00032445
17,873.02,0.57061,0.39054,0.89551,0.99942,1,0.995,0.83656,0.6373,0.70858,0.91703,0.00027872,0.00027872,0.00027872
18,920.94,0.56678,0.37496,0.92852,0.99925,1,0.995,0.86117,0.5986,0.46463,0.87547,0.00022507,0.00022507,0.00022507
19,969.172,0.57939,0.37059,0.891,0.99917,1,0.995,0.86013,0.59273,0.42575,0.86438,0.0001635,0.0001635,0.0001635
20,1021.22,0.55604,0.35864,0.8904,0.99916,1,0.995,0.85957,0.59119,0.40437,0.85805,9.401e-05,9.401e-05,9.401e-05
